map_name,algorithm,n_total,n_success,n_timeout,timeout_rate,path_length_mean,path_length_std,turn_count_mean,expanded_mean,search_ms_mean,total_ms_mean,success_rate,collision_free_rate
Berlin_0_512,ablation_no_adapt,20,20,0,0.0000,218.759898,4.262152,3.7500,5736.35,49.6531,54.4289,1.0000,1.0000
Berlin_0_512,ablation_no_smooth,20,20,0,0.0000,237.902727,9.434249,32.9000,1411.40,18.2858,18.2858,1.0000,1.0000
Berlin_0_512,astar_euclidean,20,20,0,0.0000,228.453485,2.138842,29.8500,7890.50,59.0620,59.0620,1.0000,1.0000
Berlin_0_512,astar_octile,20,20,0,0.0000,228.453485,2.138842,12.0000,5736.35,49.7620,49.7620,1.0000,1.0000
Berlin_0_512,dijkstra,20,20,0,0.0000,228.453485,2.138842,9.8000,67154.90,472.8782,472.8782,1.0000,1.0000
Berlin_0_512,improved_ours,20,20,0,0.0000,220.988944,5.683114,6.0000,1411.40,17.7641,22.2353,1.0000,1.0000
Berlin_0_512,weighted_1.2,20,20,0,0.0000,231.601508,5.880322,25.1000,1836.10,16.9158,16.9158,1.0000,1.0000
London_0_512,ablation_no_adapt,20,20,0,0.0000,243.687580,4.456810,3.8500,7325.95,65.8918,72.2693,1.0000,1.0000
London_0_512,ablation_no_smooth,20,20,0,0.0000,263.453084,8.894169,36.1000,3112.35,42.8440,42.8440,1.0000,1.0000
London_0_512,astar_euclidean,20,20,0,0.0000,253.892572,1.996881,40.1000,9898.70,76.8915,76.8915,1.0000,1.0000
London_0_512,astar_octile,20,20,0,0.0000,253.892572,1.996881,15.0000,7325.95,66.8352,66.8352,1.0000,1.0000
London_0_512,dijkstra,20,20,0,0.0000,253.892572,1.996881,13.6000,75727.50,548.4735,548.4735,1.0000,1.0000
London_0_512,improved_ours,20,20,0,0.0000,245.173357,7.868576,6.5500,3112.35,44.1110,50.8801,1.0000,1.0000
London_0_512,weighted_1.2,20,20,0,0.0000,258.407500,5.279808,29.4500,3594.05,33.9827,33.9827,1.0000,1.0000
Moscow_0_512,ablation_no_adapt,20,20,0,0.0000,212.797997,3.659980,3.8000,5671.35,50.3170,54.8411,1.0000,1.0000
Moscow_0_512,ablation_no_smooth,20,20,0,0.0000,234.239480,7.184281,36.8500,1312.45,17.0494,17.0494,1.0000,1.0000
Moscow_0_512,astar_euclidean,20,20,0,0.0000,223.351403,1.851275,36.9000,7913.55,58.4905,58.4905,1.0000,1.0000
Moscow_0_512,astar_octile,20,20,0,0.0000,223.351403,1.851275,12.6500,5671.35,49.9425,49.9425,1.0000,1.0000
Moscow_0_512,dijkstra,20,20,0,0.0000,223.351403,1.851275,10.4000,65369.25,442.5373,442.5373,1.0000,1.0000
Moscow_0_512,improved_ours,20,20,0,0.0000,214.989600,3.390488,5.7500,1312.45,16.7236,20.4975,1.0000,1.0000
Moscow_0_512,weighted_1.2,20,20,0,0.0000,227.705671,4.288796,28.9500,1483.35,12.7778,12.7778,1.0000,1.0000
Paris_0_512,ablation_no_adapt,20,20,0,0.0000,211.414787,5.121157,3.9000,5512.35,46.5290,50.4225,1.0000,1.0000
Paris_0_512,ablation_no_smooth,20,20,0,0.0000,230.984037,7.806355,31.0500,1981.30,25.5361,25.5361,1.0000,1.0000
Paris_0_512,astar_euclidean,20,20,0,0.0000,221.093730,2.541797,37.9500,7650.85,56.6932,56.6932,1.0000,1.0000
Paris_0_512,astar_octile,20,20,0,0.0000,221.093730,2.541797,14.5000,5512.35,46.8001,46.8001,1.0000,1.0000
Paris_0_512,dijkstra,20,20,0,0.0000,221.093730,2.541797,9.7000,70542.80,487.5524,487.5524,1.0000,1.0000
Paris_0_512,improved_ours,20,20,0,0.0000,213.255045,6.056999,6.7500,1981.30,26.1315,29.5964,1.0000,1.0000
Paris_0_512,weighted_1.2,20,20,0,0.0000,224.966017,4.688344,21.1500,2651.45,22.3781,22.3781,1.0000,1.0000
Shanghai_0_512,ablation_no_adapt,20,20,0,0.0000,201.735318,5.118588,2.4000,5063.10,42.0105,47.5131,1.0000,1.0000
Shanghai_0_512,ablation_no_smooth,20,20,0,0.0000,216.809729,4.843314,27.9500,1386.20,18.1454,18.1454,1.0000,1.0000
Shanghai_0_512,astar_euclidean,20,20,0,0.0000,212.319422,2.362112,38.3000,7281.50,53.5808,53.5808,1.0000,1.0000
Shanghai_0_512,astar_octile,20,20,0,0.0000,212.319422,2.362112,11.7000,5063.10,42.8958,42.8958,1.0000,1.0000
Shanghai_0_512,dijkstra,20,20,0,0.0000,212.319422,2.362112,6.6000,69798.15,499.3142,499.3142,1.0000,1.0000
Shanghai_0_512,improved_ours,20,20,0,0.0000,201.334967,4.135511,3.7000,1386.20,17.7192,23.5429,1.0000,1.0000
Shanghai_0_512,weighted_1.2,20,20,0,0.0000,213.520642,2.990597,21.7000,1867.60,16.6301,16.6301,1.0000,1.0000
arena2,ablation_no_adapt,20,20,0,0.0000,107.849142,2.192812,4.3000,2619.00,20.0332,20.8482,1.0000,1.0000
arena2,ablation_no_smooth,20,20,0,0.0000,115.361079,2.816231,17.9000,2086.20,23.6622,23.6622,1.0000,1.0000
arena2,astar_euclidean,20,20,0,0.0000,112.896255,2.322992,23.2500,3116.60,20.1544,20.1544,1.0000,1.0000
arena2,astar_octile,20,20,0,0.0000,112.896255,2.322992,10.8000,2619.00,19.7720,19.7720,1.0000,1.0000
arena2,dijkstra,20,20,0,0.0000,112.896255,2.322992,8.1000,12405.50,74.7139,74.7139,1.0000,1.0000
arena2,improved_ours,20,20,0,0.0000,107.962120,2.582545,5.1500,2086.20,22.5011,23.3179,1.0000,1.0000
arena2,weighted_1.2,20,20,0,0.0000,114.540977,2.708577,14.8500,2182.45,16.1912,16.1912,1.0000,1.0000
battleground,ablation_no_adapt,20,20,0,0.0000,155.667459,2.797118,2.6000,2860.30,24.9742,27.8394,1.0000,1.0000
battleground,ablation_no_smooth,20,20,0,0.0000,168.324996,4.099576,16.7000,1323.20,16.5564,16.5564,1.0000,1.0000
battleground,astar_euclidean,20,20,0,0.0000,163.695350,2.374965,16.1500,4635.90,35.2049,35.2049,1.0000,1.0000
battleground,astar_octile,20,20,0,0.0000,163.695350,2.374965,9.5000,2860.30,24.0840,24.0840,1.0000,1.0000
battleground,dijkstra,20,20,0,0.0000,163.695350,2.374965,7.7000,37642.15,257.1952,257.1952,1.0000,1.0000
battleground,improved_ours,20,20,0,0.0000,155.826948,2.750231,4.0500,1323.20,17.3966,20.1473,1.0000,1.0000
battleground,weighted_1.2,20,20,0,0.0000,165.062255,2.788504,9.4000,1523.30,12.9591,12.9591,1.0000,1.0000
blastedlands,ablation_no_adapt,20,20,0,0.0000,159.997690,2.496829,3.8500,3175.75,26.0402,28.2188,1.0000,1.0000
blastedlands,ablation_no_smooth,20,20,0,0.0000,172.886623,4.189788,27.1000,1347.95,18.1386,18.1386,1.0000,1.0000
blastedlands,astar_euclidean,20,20,0,0.0000,166.865808,2.433571,18.6500,4583.55,33.5363,33.5363,1.0000,1.0000
blastedlands,astar_octile,20,20,0,0.0000,166.865808,2.433571,9.9500,3175.75,25.9491,25.9491,1.0000,1.0000
blastedlands,dijkstra,20,20,0,0.0000,166.865808,2.433571,9.4000,40245.25,267.8447,267.8447,1.0000,1.0000
blastedlands,improved_ours,20,20,0,0.0000,159.591686,2.693119,5.5000,1347.95,17.0611,19.4213,1.0000,1.0000
blastedlands,weighted_1.2,20,20,0,0.0000,169.351089,3.454906,17.5500,1533.75,13.6925,13.6925,1.0000,1.0000
bloodvenomfalls,ablation_no_adapt,20,20,0,0.0000,185.230965,3.279838,5.1500,4831.85,40.8821,43.6466,1.0000,1.0000
bloodvenomfalls,ablation_no_smooth,20,20,0,0.0000,203.385761,6.525913,37.3500,2354.65,31.0267,31.0267,1.0000,1.0000
bloodvenomfalls,astar_euclidean,20,20,0,0.0000,192.692154,2.452695,20.2000,6272.65,44.9045,44.9045,1.0000,1.0000
bloodvenomfalls,astar_octile,20,20,0,0.0000,192.692154,2.452695,13.2500,4831.85,41.9068,41.9068,1.0000,1.0000
bloodvenomfalls,dijkstra,20,20,0,0.0000,192.692154,2.452695,11.1000,39436.20,261.2497,261.2497,1.0000,1.0000
