map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,task_source
dao,brc503d,257x320,0.1810,0,"215,26","235,206",188.284271,middle_30_50
dao,brc503d,257x320,0.1810,1,"5,203","117,287",189.213203,middle_30_50
dao,brc503d,257x320,0.1810,2,"202,16","46,85",189.267027,middle_30_50
dao,brc503d,257x320,0.1810,3,"124,93","189,239",189.468037,middle_30_50
dao,brc503d,257x320,0.1810,4,"250,196","131,71",189.521861,middle_30_50
dao,brc503d,257x320,0.1810,5,"17,197","177,220",190.095454,middle_30_50
dao,brc503d,257x320,0.1810,6,"188,21","28,92",190.580736,middle_30_50
dao,brc503d,257x320,0.1810,7,"203,101","58,75",190.622366,middle_30_50
dao,brc503d,257x320,0.1810,8,"58,58","112,198",191.639610,middle_30_50
dao,brc503d,257x320,0.1810,9,"62,179","109,50",192.267027,middle_30_50
dao,brc503d,257x320,0.1810,10,"97,248","27,259",192.438600,middle_30_50
dao,brc503d,257x320,0.1810,11,"69,134","1,298",192.752309,middle_30_50
dao,brc503d,257x320,0.1810,12,"201,220","138,65",192.852814,middle_30_50
dao,brc503d,257x320,0.1810,13,"199,21","203,210",193.142136,middle_30_50
dao,brc503d,257x320,0.1810,14,"136,50","46,161",193.468037,middle_30_50
dao,brc503d,257x320,0.1810,15,"65,256","41,77",194.455844,middle_30_50
dao,brc503d,257x320,0.1810,16,"53,217","82,42",194.468037,middle_30_50
dao,brc503d,257x320,0.1810,17,"5,234","57,61",194.539105,middle_30_50
dao,brc503d,257x320,0.1810,18,"190,180","24,147",195.509668,middle_30_50
dao,brc503d,257x320,0.1810,19,"41,43","207,108",196.237590,middle_30_50
dao,orz100d,395x412,0.3878,0,"131,141","216,346",290.877200,middle_30_50
dao,orz100d,395x412,0.3878,1,"331,350","248,106",290.923882,middle_30_50
dao,orz100d,395x412,0.3878,2,"230,172","354,121",291.509668,middle_30_50
dao,orz100d,395x412,0.3878,3,"190,144","144,288",291.764502,middle_30_50
dao,orz100d,395x412,0.3878,4,"265,210","55,179",292.521861,middle_30_50
dao,orz100d,395x412,0.3878,5,"197,339","26,357",292.923882,middle_30_50
dao,orz100d,395x412,0.3878,6,"251,326","8,221",292.977705,middle_30_50
dao,orz100d,395x412,0.3878,7,"289,59","344,323",293.710678,middle_30_50
dao,orz100d,395x412,0.3878,8,"256,61","269,237",293.818326,middle_30_50
dao,orz100d,395x412,0.3878,9,"45,185","176,342",294.291414,middle_30_50
dao,orz100d,395x412,0.3878,10,"170,179","171,372",294.977705,middle_30_50
dao,orz100d,395x412,0.3878,11,"176,264","179,103",295.036580,middle_30_50
dao,orz100d,395x412,0.3878,12,"257,250","228,43",295.362482,middle_30_50
dao,orz100d,395x412,0.3878,13,"151,276","121,148",295.906638,middle_30_50
dao,orz100d,395x412,0.3878,14,"143,156","208,57",296.534055,middle_30_50
dao,orz100d,395x412,0.3878,15,"201,383","38,301",297.024387,middle_30_50
dao,orz100d,395x412,0.3878,16,"133,144","157,316",297.889394,middle_30_50
dao,orz100d,395x412,0.3878,17,"191,158","281,218",298.149278,middle_30_50
dao,orz100d,395x412,0.3878,18,"16,377","261,349",298.279221,middle_30_50
dao,orz100d,395x412,0.3878,19,"175,179","87,289",298.450793,middle_30_50
dao,den502d,251x211,0.4858,0,"116,94","36,100",82.485281,middle_30_50
dao,den502d,251x211,0.4858,1,"75,59","103,130",82.597980,middle_30_50
dao,den502d,251x211,0.4858,2,"91,53","87,134",82.656854,middle_30_50
dao,den502d,251x211,0.4858,3,"137,181","96,133",82.698485,middle_30_50
dao,den502d,251x211,0.4858,4,"197,138","133,185",83.468037,middle_30_50
dao,den502d,251x211,0.4858,5,"162,161","95,167",83.568542,middle_30_50
dao,den502d,251x211,0.4858,6,"117,62","34,65",84.242641,middle_30_50
dao,den502d,251x211,0.4858,7,"73,174","137,129",84.396970,middle_30_50
dao,den502d,251x211,0.4858,8,"204,175","132,149",84.426407,middle_30_50
dao,den502d,251x211,0.4858,9,"120,131","135,183",84.840620,middle_30_50
dao,den502d,251x211,0.4858,10,"158,123","79,138",85.213203,middle_30_50
dao,den502d,251x211,0.4858,11,"51,49","76,124",85.355339,middle_30_50
dao,den502d,251x211,0.4858,12,"160,184","120,114",86.568542,middle_30_50
dao,den502d,251x211,0.4858,13,"61,92","128,44",86.882251,middle_30_50
dao,den502d,251x211,0.4858,14,"198,113","118,131",87.455844,middle_30_50
dao,den502d,251x211,0.4858,15,"185,175","231,107",87.639610,middle_30_50
dao,den502d,251x211,0.4858,16,"102,37","107,113",88.071068,middle_30_50
dao,den502d,251x211,0.4858,17,"221,104","157,163",88.438600,middle_30_50
dao,den502d,251x211,0.4858,18,"119,41","32,46",89.071068,middle_30_50
dao,den502d,251x211,0.4858,19,"36,64","92,130",89.195959,middle_30_50
dao,arena2,209x281,0.5860,0,"111,206","151,228",109.556349,middle_30_50
dao,arena2,209x281,0.5860,1,"108,97","167,149",109.568542,middle_30_50
dao,arena2,209x281,0.5860,2,"100,231","191,249",109.627417,middle_30_50
dao,arena2,209x281,0.5860,3,"53,115","90,169",110.254834,middle_30_50
dao,arena2,209x281,0.5860,4,"135,138","172,166",110.497475,middle_30_50
dao,arena2,209x281,0.5860,5,"86,199","154,242",110.840620,middle_30_50
dao,arena2,209x281,0.5860,6,"96,178","168,139",111.568542,middle_30_50
dao,arena2,209x281,0.5860,7,"44,162","99,132",112.396970,middle_30_50
dao,arena2,209x281,0.5860,8,"164,128","77,95",112.811183,middle_30_50
dao,arena2,209x281,0.5860,9,"109,179","162,119",113.083261,middle_30_50
dao,arena2,209x281,0.5860,10,"110,166","85,257",113.112698,middle_30_50
dao,arena2,209x281,0.5860,11,"93,170","63,109",113.183766,middle_30_50
dao,arena2,209x281,0.5860,12,"82,160","93,56",113.526912,middle_30_50
dao,arena2,209x281,0.5860,13,"150,144","139,141",113.840620,middle_30_50
dao,arena2,209x281,0.5860,14,"81,134","143,158",114.367532,middle_30_50
dao,arena2,209x281,0.5860,15,"109,84","135,166",114.426407,middle_30_50
dao,arena2,209x281,0.5860,16,"52,119","106,206",115.225397,middle_30_50
dao,arena2,209x281,0.5860,17,"96,262","191,268",116.012193,middle_30_50
dao,arena2,209x281,0.5860,18,"104,155","150,99",116.284271,middle_30_50
dao,arena2,209x281,0.5860,19,"67,156","110,123",117.740115,middle_30_50
dao,ost003d,194x194,0.6489,0,"134,172","53,132",97.568542,middle_30_50
dao,ost003d,194x194,0.6489,1,"165,119","109,182",97.911688,middle_30_50
dao,ost003d,194x194,0.6489,2,"159,157","187,103",97.982756,middle_30_50
dao,ost003d,194x194,0.6489,3,"159,57","86,98",98.710678,middle_30_50
dao,ost003d,194x194,0.6489,4,"125,86","166,87",98.769553,middle_30_50
dao,ost003d,194x194,0.6489,5,"135,48","89,128",99.053824,middle_30_50
dao,ost003d,194x194,0.6489,6,"169,109","128,62",99.698485,middle_30_50
dao,ost003d,194x194,0.6489,7,"116,157","162,78",100.296465,middle_30_50
dao,ost003d,194x194,0.6489,8,"62,139","158,142",100.556349,middle_30_50
dao,ost003d,194x194,0.6489,9,"156,51","78,98",100.882251,middle_30_50
dao,ost003d,194x194,0.6489,10,"64,140","143,161",100.970563,middle_30_50
dao,ost003d,194x194,0.6489,11,"99,72","184,60",101.325902,middle_30_50
dao,ost003d,194x194,0.6489,12,"181,55","107,89",101.781746,middle_30_50
dao,ost003d,194x194,0.6489,13,"117,161","45,171",101.840620,middle_30_50
dao,ost003d,194x194,0.6489,14,"142,152","73,176",102.597980,middle_30_50
dao,ost003d,194x194,0.6489,15,"189,79","153,149",102.953319,middle_30_50
dao,ost003d,194x194,0.6489,16,"171,85","115,86",102.982756,middle_30_50
dao,ost003d,194x194,0.6489,17,"99,151","179,93",104.024387,middle_30_50
dao,ost003d,194x194,0.6489,18,"139,120","139,53",104.497475,middle_30_50
dao,ost003d,194x194,0.6489,19,"163,125","119,190",104.740115,middle_30_50
street,Berlin_0_512,512x512,0.2498,0,"239,388","32,388",225.225397,middle_30_50
street,Berlin_0_512,512x512,0.2498,1,"72,226","217,60",226.060966,middle_30_50
