map_name,algorithm,n_total,n_success,n_timeout,timeout_rate,path_length_mean,path_length_std,turn_count_mean,expanded_mean,search_ms_mean,total_ms_mean,success_rate,collision_free_rate
Berlin_0_512,ablation_no_adapt,20,20,0,0.0000,357.523759,4.870969,7.5000,19357.70,169.9374,178.0995,1.0000,1.0000
Berlin_0_512,ablation_no_smooth,20,20,0,0.0000,393.619249,10.256488,75.6000,6755.85,89.3725,89.3725,1.0000,1.0000
Berlin_0_512,astar_euclidean,20,20,0,0.0000,377.983149,2.200165,85.4000,24798.40,193.1138,193.1138,1.0000,1.0000
Berlin_0_512,astar_octile,20,20,0,0.0000,377.983149,2.200165,29.0000,19357.70,172.0918,172.0918,1.0000,1.0000
Berlin_0_512,dijkstra,20,20,0,0.0000,377.983149,2.200165,24.0500,130549.15,938.2525,938.2525,1.0000,1.0000
Berlin_0_512,improved_ours,20,20,0,0.0000,360.027603,5.044742,10.7000,6755.85,90.5409,98.3921,1.0000,1.0000
Berlin_0_512,weighted_1.2,20,20,0,0.0000,382.622341,5.233685,55.5500,8353.80,75.2043,75.2043,1.0000,1.0000
London_0_512,ablation_no_adapt,20,20,0,0.0000,402.917158,6.441846,8.8500,24669.70,219.7775,231.6354,1.0000,1.0000
London_0_512,ablation_no_smooth,20,20,0,0.0000,442.262604,14.145719,85.1000,11994.45,150.8156,150.8156,1.0000,1.0000
London_0_512,astar_euclidean,20,20,0,0.0000,420.134116,2.279346,69.6000,30929.35,235.8417,235.8417,1.0000,1.0000
London_0_512,astar_octile,20,20,0,0.0000,420.134116,2.279346,31.6000,24669.70,222.6910,222.6910,1.0000,1.0000
London_0_512,dijkstra,20,20,0,0.0000,420.134116,2.279346,32.0000,136402.25,960.9658,960.9658,1.0000,1.0000
London_0_512,improved_ours,20,20,0,0.0000,405.279014,7.676905,13.8000,11994.45,153.1888,164.6390,1.0000,1.0000
London_0_512,weighted_1.2,20,20,0,0.0000,428.937983,8.633747,57.2500,13405.75,115.1785,115.1785,1.0000,1.0000
Moscow_0_512,ablation_no_adapt,20,20,0,0.0000,353.983076,5.964208,5.9000,12786.80,116.4137,126.4368,1.0000,1.0000
Moscow_0_512,ablation_no_smooth,20,20,0,0.0000,390.341284,11.815521,59.5000,2874.45,37.8666,37.8666,1.0000,1.0000
Moscow_0_512,astar_euclidean,20,20,0,0.0000,370.051273,2.299635,68.8000,18825.15,143.6913,143.6913,1.0000,1.0000
Moscow_0_512,astar_octile,20,20,0,0.0000,370.051273,2.299635,18.0000,12786.80,118.0179,118.0179,1.0000,1.0000
Moscow_0_512,dijkstra,20,20,0,0.0000,370.051273,2.299635,18.6500,137538.80,962.0039,962.0039,1.0000,1.0000
Moscow_0_512,improved_ours,20,20,0,0.0000,361.050768,8.221341,11.2000,2874.45,38.1379,47.1224,1.0000,1.0000
Moscow_0_512,weighted_1.2,20,20,0,0.0000,379.001230,9.895217,41.3500,3097.80,27.2900,27.2900,1.0000,1.0000
Paris_0_512,ablation_no_adapt,20,20,0,0.0000,351.884116,6.127422,7.8000,13859.85,124.3434,131.8009,1.0000,1.0000
Paris_0_512,ablation_no_smooth,20,20,0,0.0000,384.402283,13.141364,58.8000,4962.05,63.8803,63.8803,1.0000,1.0000
Paris_0_512,astar_euclidean,20,20,0,0.0000,365.825833,2.411883,45.3500,19161.45,145.3436,145.3436,1.0000,1.0000
Paris_0_512,astar_octile,20,20,0,0.0000,365.825833,2.411883,21.2500,13859.85,120.2515,120.2515,1.0000,1.0000
Paris_0_512,dijkstra,20,20,0,0.0000,365.825833,2.411883,16.6000,124709.15,867.4063,867.4063,1.0000,1.0000
Paris_0_512,improved_ours,20,20,0,0.0000,354.803290,7.148838,12.9500,4962.05,64.9965,70.8715,1.0000,1.0000
Paris_0_512,weighted_1.2,20,20,0,0.0000,372.299697,7.891718,38.2500,5706.95,49.4634,49.4634,1.0000,1.0000
Shanghai_0_512,ablation_no_adapt,20,20,0,0.0000,332.876145,5.776436,3.6000,13261.50,116.2123,129.2887,1.0000,1.0000
Shanghai_0_512,ablation_no_smooth,20,20,0,0.0000,361.110714,9.219457,38.5000,2433.55,32.1335,32.1335,1.0000,1.0000
Shanghai_0_512,astar_euclidean,20,20,0,0.0000,349.815025,2.233215,75.1000,18756.65,143.2227,143.2227,1.0000,1.0000
Shanghai_0_512,astar_octile,20,20,0,0.0000,349.815025,2.233215,19.5000,13261.50,114.0232,114.0232,1.0000,1.0000
Shanghai_0_512,dijkstra,20,20,0,0.0000,349.815025,2.233215,14.8000,133900.50,954.6538,954.6538,1.0000,1.0000
Shanghai_0_512,improved_ours,20,20,0,0.0000,336.286659,6.632954,4.9500,2433.55,33.7296,47.2986,1.0000,1.0000
Shanghai_0_512,weighted_1.2,20,20,0,0.0000,354.493200,5.931956,26.7500,3194.05,29.1138,29.1138,1.0000,1.0000
arena2,ablation_no_adapt,20,20,0,0.0000,178.130327,3.351607,5.5500,4395.30,32.8334,34.5628,1.0000,1.0000
arena2,ablation_no_smooth,20,20,0,0.0000,195.163117,5.729221,34.9500,2976.35,32.5901,32.5901,1.0000,1.0000
arena2,astar_euclidean,20,20,0,0.0000,185.729307,2.007944,24.2500,5397.75,35.8741,35.8741,1.0000,1.0000
arena2,astar_octile,20,20,0,0.0000,185.729307,2.007944,11.3500,4395.30,32.0962,32.0962,1.0000,1.0000
arena2,dijkstra,20,20,0,0.0000,185.729307,2.007944,10.6500,17521.75,104.7262,104.7262,1.0000,1.0000
arena2,improved_ours,20,20,0,0.0000,178.514101,3.871756,7.8500,2976.35,33.8943,35.3009,1.0000,1.0000
arena2,weighted_1.2,20,20,0,0.0000,190.078550,4.074153,26.2500,3178.40,24.8715,24.8715,1.0000,1.0000
battleground,ablation_no_adapt,20,20,0,0.0000,259.535868,4.107919,5.6000,7332.60,66.8974,71.2676,1.0000,1.0000
battleground,ablation_no_smooth,20,20,0,0.0000,285.405270,9.190085,42.2500,1948.65,24.1796,24.1796,1.0000,1.0000
battleground,astar_euclidean,20,20,0,0.0000,270.279072,2.131756,39.1000,10318.50,76.9387,76.9387,1.0000,1.0000
battleground,astar_octile,20,20,0,0.0000,270.279072,2.131756,13.0000,7332.60,66.1540,66.1540,1.0000,1.0000
battleground,dijkstra,20,20,0,0.0000,270.279072,2.131756,11.5000,63657.95,423.3965,423.3965,1.0000,1.0000
battleground,improved_ours,20,20,0,0.0000,260.357118,4.878350,8.2000,1948.65,24.0748,27.7864,1.0000,1.0000
battleground,weighted_1.2,20,20,0,0.0000,275.415321,6.440340,22.6500,1946.50,16.7588,16.7588,1.0000,1.0000
blastedlands,ablation_no_adapt,20,20,0,0.0000,264.996264,4.749020,5.6500,6745.00,59.6641,63.8891,1.0000,1.0000
blastedlands,ablation_no_smooth,20,20,0,0.0000,292.069484,8.267892,40.6000,1492.90,18.3766,18.3766,1.0000,1.0000
blastedlands,astar_euclidean,20,20,0,0.0000,275.913492,2.192909,44.5500,10307.35,75.5894,75.5894,1.0000,1.0000
blastedlands,astar_octile,20,20,0,0.0000,275.913492,2.192909,12.8500,6745.00,59.1049,59.1049,1.0000,1.0000
blastedlands,dijkstra,20,20,0,0.0000,275.913492,2.192909,13.2000,81030.85,544.3777,544.3777,1.0000,1.0000
blastedlands,improved_ours,20,20,0,0.0000,266.369931,6.998901,8.2500,1492.90,18.6205,22.3782,1.0000,1.0000
blastedlands,weighted_1.2,20,20,0,0.0000,282.186998,6.576165,24.8000,1484.65,13.3087,13.3087,1.0000,1.0000
bloodvenomfalls,ablation_no_adapt,20,20,0,0.0000,304.925504,3.705342,9.1000,11366.05,96.9998,101.6629,1.0000,1.0000
bloodvenomfalls,ablation_no_smooth,20,20,0,0.0000,336.728567,8.546231,66.9000,5241.10,67.8247,67.8247,1.0000,1.0000
bloodvenomfalls,astar_euclidean,20,20,0,0.0000,317.923333,2.348639,31.5000,14397.80,103.1632,103.1632,1.0000,1.0000
bloodvenomfalls,astar_octile,20,20,0,0.0000,317.923333,2.348639,21.2500,11366.05,98.7869,98.7869,1.0000,1.0000
bloodvenomfalls,dijkstra,20,20,0,0.0000,317.923333,2.348639,18.9500,70524.55,462.3501,462.3501,1.0000,1.0000
bloodvenomfalls,improved_ours,20,20,0,0.0000,307.384339,3.805332,12.5500,5241.10,68.1947,71.9757,1.0000,1.0000
bloodvenomfalls,weighted_1.2,20,20,0,0.0000,323.904304,5.656218,36.8500,6157.65,54.5325,54.5325,1.0000,1.0000
brc503d,ablation_no_adapt,20,20,0,0.0000,304.907206,4.026356,13.3000,16696.35,129.3185,133.4911,1.0000,1.0000
brc503d,ablation_no_smooth,20,20,0,0.0000,328.163892,8.226540,67.0500,12542.90,142.4708,142.4708,1.0000,1.0000
brc503d,astar_euclidean,20,20,0,0.0000,317.977392,2.512879,51.9500,18817.40,132.6988,132.6988,1.0000,1.0000
brc503d,astar_octile,20,20,0,0.0000,317.977392,2.512879,30.5500,16696.35,128.6008,128.6008,1.0000,1.0000
brc503d,dijkstra,20,20,0,0.0000,317.977392,2.512879,22.6500,44467.65,290.7813,290.7813,1.0000,1.0000
brc503d,improved_ours,20,20,0,0.0000,306.736389,5.708619,16.2000,12542.90,141.1119,144.9377,1.0000,1.0000
brc503d,weighted_1.2,20,20,0,0.0000,321.401151,3.755657,42.6500,13136.10,102.9487,102.9487,1.0000,1.0000
darkforest,ablation_no_adapt,20,20,0,0.0000,293.184209,3.625165,7.6000,8734.00,73.3983,77.7268,1.0000,1.0000
darkforest,ablation_no_smooth,20,20,0,0.0000,327.088470,9.524181,58.9500,2354.00,30.9306,30.9306,1.0000,1.0000
darkforest,astar_euclidean,20,20,0,0.0000,305.856890,2.267594,41.3000,12184.95,89.2059,89.2059,1.0000,1.0000
darkforest,astar_octile,20,20,0,0.0000,305.856890,2.267594,16.4500,8734.00,73.2222,73.2222,1.0000,1.0000
darkforest,dijkstra,20,20,0,0.0000,305.856890,2.267594,15.3500,62634.90,408.9362,408.9362,1.0000,1.0000
darkforest,improved_ours,20,20,0,0.0000,294.790365,6.205540,12.4000,2354.00,30.4152,33.9725,1.0000,1.0000
