map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,task_source
dao,brc503d,257x320,0.1810,0,"109,137","132,279",314.036580,middle_50_70
dao,brc503d,257x320,0.1810,1,"253,233","76,20",314.232539,middle_50_70
dao,brc503d,257x320,0.1810,2,"228,127","138,257",314.568542,middle_50_70
dao,brc503d,257x320,0.1810,3,"98,195","186,21",315.622366,middle_50_70
dao,brc503d,257x320,0.1810,4,"217,306","184,17",315.923882,middle_50_70
dao,brc503d,257x320,0.1810,5,"29,8","183,170",316.024387,middle_50_70
dao,brc503d,257x320,0.1810,6,"162,61","59,104",316.066017,middle_50_70
dao,brc503d,257x320,0.1810,7,"125,2","241,268",316.391919,middle_50_70
dao,brc503d,257x320,0.1810,8,"27,204","205,60",317.480231,middle_50_70
dao,brc503d,257x320,0.1810,9,"147,98","2,236",317.575685,middle_50_70
dao,brc503d,257x320,0.1810,10,"122,69","79,71",318.178716,middle_50_70
dao,brc503d,257x320,0.1810,11,"66,209","202,25",318.994949,middle_50_70
dao,brc503d,257x320,0.1810,12,"163,104","98,61",319.019336,middle_50_70
dao,brc503d,257x320,0.1810,13,"150,297","67,154",319.480231,middle_50_70
dao,brc503d,257x320,0.1810,14,"118,14","137,116",319.492424,middle_50_70
dao,brc503d,257x320,0.1810,15,"82,301","222,137",320.225397,middle_50_70
dao,brc503d,257x320,0.1810,16,"108,70","244,306",320.450793,middle_50_70
dao,brc503d,257x320,0.1810,17,"72,319","152,161",321.580736,middle_50_70
dao,brc503d,257x320,0.1810,18,"13,18","210,205",321.906638,middle_50_70
dao,brc503d,257x320,0.1810,19,"60,230","150,279",322.296465,middle_50_70
dao,orz100d,395x412,0.3878,0,"221,215","272,137",484.931024,middle_50_70
dao,orz100d,395x412,0.3878,1,"381,98","92,111",485.203102,middle_50_70
dao,orz100d,395x412,0.3878,2,"214,341","319,25",485.357431,middle_50_70
dao,orz100d,395x412,0.3878,3,"250,303","387,69",486.161472,middle_50_70
dao,orz100d,395x412,0.3878,4,"351,368","245,151",486.161472,middle_50_70
dao,orz100d,395x412,0.3878,5,"305,229","215,271",486.416306,middle_50_70
dao,orz100d,395x412,0.3878,6,"223,31","223,388",486.788889,middle_50_70
dao,orz100d,395x412,0.3878,7,"309,122","219,251",487.090404,middle_50_70
dao,orz100d,395x412,0.3878,8,"276,40","202,391",487.600072,middle_50_70
