run_id,map_type,map_name,map_size,obstacle_ratio,task_id,start,goal,optimal_length,algorithm,success,path_length,turn_count,expanded_nodes,runtime_ms,collision_free
exp_v1_rerun,dao,arena,49x49,0.1445,0,"26,19","29,19",3.000000,dijkstra,True,3.000000,0,29,0.2534,True
exp_v1_rerun,dao,arena,49x49,0.1445,0,"26,19","29,19",3.000000,astar_euclidean,True,3.000000,0,4,0.0365,True
exp_v1_rerun,dao,arena,49x49,0.1445,0,"26,19","29,19",3.000000,astar_octile,True,3.000000,0,4,0.0407,True
exp_v1_rerun,dao,arena,49x49,0.1445,0,"26,19","29,19",3.000000,weighted_1.2,True,3.000000,0,4,0.0366,True
exp_v1_rerun,dao,arena,49x49,0.1445,0,"26,19","29,19",3.000000,improved_ours,True,3.000000,0,4,0.0749,True
exp_v1_rerun,dao,arena,49x49,0.1445,0,"26,19","29,19",3.000000,ablation_no_adapt,True,3.000000,0,4,0.0367,True
exp_v1_rerun,dao,arena,49x49,0.1445,0,"26,19","29,19",3.000000,ablation_no_smooth,True,3.000000,0,4,0.0617,True
exp_v1_rerun,dao,arena,49x49,0.1445,1,"30,44","28,43",2.414214,dijkstra,True,2.414214,1,14,0.0892,True
exp_v1_rerun,dao,arena,49x49,0.1445,1,"30,44","28,43",2.414214,astar_euclidean,True,2.414214,1,3,0.0230,True
exp_v1_rerun,dao,arena,49x49,0.1445,1,"30,44","28,43",2.414214,astar_octile,True,2.414214,1,3,0.0280,True
exp_v1_rerun,dao,arena,49x49,0.1445,1,"30,44","28,43",2.414214,weighted_1.2,True,2.414214,1,3,0.0264,True
exp_v1_rerun,dao,arena,49x49,0.1445,1,"30,44","28,43",2.414214,improved_ours,True,2.236068,0,3,0.0511,True
exp_v1_rerun,dao,arena,49x49,0.1445,1,"30,44","28,43",2.414214,ablation_no_adapt,True,2.236068,0,3,0.0282,True
exp_v1_rerun,dao,arena,49x49,0.1445,1,"30,44","28,43",2.414214,ablation_no_smooth,True,2.414214,1,3,0.0540,True
exp_v1_rerun,dao,arena,49x49,0.1445,2,"23,31","23,33",2.000000,dijkstra,True,2.000000,0,12,0.0895,True
exp_v1_rerun,dao,arena,49x49,0.1445,2,"23,31","23,33",2.000000,astar_euclidean,True,2.000000,0,3,0.0218,True
exp_v1_rerun,dao,arena,49x49,0.1445,2,"23,31","23,33",2.000000,astar_octile,True,2.000000,0,3,0.0263,True
exp_v1_rerun,dao,arena,49x49,0.1445,2,"23,31","23,33",2.000000,weighted_1.2,True,2.000000,0,3,0.0259,True
exp_v1_rerun,dao,arena,49x49,0.1445,2,"23,31","23,33",2.000000,improved_ours,True,2.000000,0,3,0.0476,True
exp_v1_rerun,dao,arena,49x49,0.1445,2,"23,31","23,33",2.000000,ablation_no_adapt,True,2.000000,0,3,0.0265,True
exp_v1_rerun,dao,arena,49x49,0.1445,2,"23,31","23,33",2.000000,ablation_no_smooth,True,2.000000,0,3,0.0464,True
exp_v1_rerun,dao,arena,49x49,0.1445,3,"22,30","21,31",1.414214,dijkstra,True,1.414214,0,7,0.0451,True
exp_v1_rerun,dao,arena,49x49,0.1445,3,"22,30","21,31",1.414214,astar_euclidean,True,1.414214,0,2,0.0128,True
